Date;Stake;Cards;Position;Board;NetWon;NetWonBB;SawShowdown;Stack;Currency;StackBB;Rake;HandCount
2022/07/09 12:32:47;NL2;9d,3d;EP;Qd,4h,2c,6s;-0.02;-1.0;No;2.0;EUR;100.0;0.0;1
2022/07/09 12:34:30;NL2;8s,8c;BB;Jc,6h,4s,5s,9c;0.2;10.0;Yes;2.0;EUR;100.0;0.02;2
2022/07/09 12:34:43;NL2;6c,6d;BB;2h,Js,Ad,As,7h;-0.06;-3.0;No;2.0;EUR;100.0;0.0;3
2022/07/09 12:35:50;NL2;9d,6c;SB;2c,5d,Qh,Qc;-0.01;-0.5;No;2.2;EUR;110.0;0.0;4
2022/07/09 12:37:05;NL2;5s,4s;BTN;;0.0;0.0;No;2.19;EUR;109.5;0.0;5
2022/07/09 12:37:29;NL2;Ts,5c;CO;6d,Jc,7c;0.0;0.0;No;2.19;EUR;109.5;0.0;6
2022/07/09 12:37:40;NL2;8d,4d;SB;9h,9d,5d,2h;-0.01;-0.5;No;2.0;EUR;100.0;0.0;7
2022/07/09 12:38:00;NL2;As,9c;MP;Qd,6h,7h;0.0;0.0;No;2.19;EUR;109.5;0.0;8
2022/07/09 12:38:44;NL2;Qh,Jh;BTN;4d,6d,Js;0.08;4.0;No;2.0;EUR;100.0;0.0;9
2022/07/09 12:39:01;NL2;9c,8c;EP;9d,2h,Ts;-0.06;-3.0;No;2.19;EUR;109.5;0.0;10
2022/07/09 12:39:42;NL2;Kd,4c;CO;As,Jd,9c,Td,Qc;0.0;0.0;No;2.08;EUR;104.0;0.0;11
2022/07/09 12:41:38;NL2;Kh,Tc;MP;3d,Jh,5d;0.08;4.0;No;2.08;EUR;104.0;0.01;12
2022/07/10 10:56:31;NL2;9s,3h;BB;Qs,2s,9c,8c,8h;-0.02;-1.0;No;2.0;EUR;100.0;0.0;13
2022/07/10 10:57:29;NL2;9h,2h;SB;6h,2d,Qh,9s,Kd;-0.01;-0.5;No;1.98;EUR;99.0;0.0;14
2022/07/10 10:58:20;NL2;6c,4d;BTN;Jc,5d,Ah;0.0;0.0;No;1.97;EUR;98.5;0.0;15
2022/07/10 10:58:32;NL2;9h,4s;BB;;0.06;3.0;No;2.0;EUR;100.0;0.0;16
2022/07/10 10:59:00;NL2;Td,2h;CO;3s,2d,8d;0.0;0.0;No;1.97;EUR;98.5;0.0;17
2022/07/10 10:59:13;NL2;6h,3h;SB;;-0.01;-0.5;No;2.06;EUR;103.0;0.0;18
2022/07/10 10:59:27;NL2;Qd,Tc;MP;;0.0;0.0;No;1.97;EUR;98.5;0.0;19
2022/07/10 10:59:34;NL2;Ks,5d;BTN;As,6s,2h,6d,Qs;0.0;0.0;No;2.05;EUR;102.5;0.0;20
2022/07/10 10:59:43;NL2;Qc,4c;BB;;0.01;0.5;No;1.97;EUR;98.5;0.0;21
2022/07/10 10:59:51;NL2;3s,2h;SB;;-0.01;-0.5;No;1.98;EUR;99.0;0.0;22
2022/07/10 11:00:08;NL2;8c,5s;BTN;5h,2h,Qs,4s;0.0;0.0;No;1.97;EUR;98.5;0.0;23
2022/07/10 11:00:56;NL2;Th,6s;CO;;0.0;0.0;No;2.05;EUR;102.5;0.0;24
2022/07/10 11:01:01;NL2;Qh,6s;CO;9c,Js,8d,5h,4c;0.0;0.0;No;1.97;EUR;98.5;0.0;25
2022/07/10 11:01:31;NL2;5s,2s;MP;;0.0;0.0;No;2.05;EUR;102.5;0.0;26
2022/07/10 11:01:35;NL2;Qc,Js;MP;;0.03;1.5;No;1.97;EUR;98.5;0.0;27
2022/07/10 11:01:49;NL2;As,5d;EP;;0.0;0.0;No;2.05;EUR;102.5;0.0;28
2022/07/10 11:01:57;NL2;Tc,8h;BB;7d,Ts,7h,8d,Ah;-0.02;-1.0;No;2.0;EUR;100.0;0.0;29
2022/07/10 11:02:10;NL2;8s,6c;BB;;0.01;0.5;No;2.05;EUR;102.5;0.0;30
2022/07/10 11:02:28;NL2;Ah,7d;SB;;-0.01;-0.5;No;2.06;EUR;103.0;0.0;31
2022/07/10 11:02:53;NL2;Th,8c;BTN;;0.0;0.0;No;2.05;EUR;102.5;0.0;32
2022/07/10 11:03:00;NL2;As,Jc;SB;2c,Ac,2d;0.06;3.0;No;1.98;EUR;99.0;0.0;33
2022/07/10 11:03:52;NL2;6c,4c;BTN;8c,2d,3c,Ac,Ah;0.0;0.0;No;2.04;EUR;102.0;0.0;34
2022/07/10 11:04:14;NL2;Ts,4d;CO;Ks,5h,6c;0.0;0.0;No;2.05;EUR;102.5;0.0;35
2022/07/10 11:05:16;NL2;Kh,9d;CO;3h,Ac,Jd,Qc,8d;-0.3;-15.0;No;2.04;EUR;102.0;0.0;36
2022/07/10 11:05:17;NL2;8h,5d;MP;;0.0;0.0;No;2.05;EUR;102.5;0.0;37
2022/07/10 11:05:50;NL2;9c,3s;EP;;0.0;0.0;No;2.05;EUR;102.5;0.0;38
2022/07/10 11:06:15;NL2;Js,2h;BB;;-0.02;-1.0;No;2.05;EUR;102.5;0.0;39
2022/07/10 11:06:46;NL2;Ah,4h;SB;3s,9s,8h,9d,8d;0.13;6.5;Yes;2.03;EUR;101.5;0.01;40
2022/07/10 11:07:06;NL2;Qs,8d;MP;;0.0;0.0;No;1.74;EUR;87.0;0.0;41
2022/07/10 11:07:33;NL2;Ad,Jd;EP;Qs,5c,Ts,Qh,9d;0.2;10.0;No;1.74;EUR;87.0;0.03;42
2022/07/10 11:07:53;NL2;8d,3h;BTN;;0.0;0.0;No;2.16;EUR;108.0;0.0;43
2022/07/10 11:08:27;NL2;7h,3d;CO;;0.0;0.0;No;2.16;EUR;108.0;0.0;44
2022/07/10 11:09:05;NL2;Ah,6s;MP;;0.0;0.0;No;2.16;EUR;108.0;0.0;45
2022/07/10 11:09:07;NL2;5d,3c;BB;;-0.01;-0.5;No;1.94;EUR;97.0;0.0;46
2022/07/10 11:09:27;NL2;6s,3d;EP;;0.0;0.0;No;2.16;EUR;108.0;0.0;47
2022/07/10 11:09:31;NL2;5s,3c;BTN;;0.0;0.0;No;1.93;EUR;96.5;0.0;48
2022/07/10 11:09:45;NL2;6h,4h;CO;Kh,4d,9c;0.0;0.0;No;1.93;EUR;96.5;0.0;49
2022/07/10 11:09:51;NL2;Th,Tc;BB;;0.01;0.5;No;2.16;EUR;108.0;0.0;50
2022/07/10 11:10:13;NL2;Ah,3h;SB;;-0.01;-0.5;No;2.17;EUR;108.5;0.0;51
2022/07/10 11:10:34;NL2;Kc,7c;BTN;;0.03;1.5;No;2.16;EUR;108.0;0.0;52
2022/07/10 11:11:02;NL2;6d,2s;MP;;0.0;0.0;No;1.93;EUR;96.5;0.0;53
2022/07/10 11:11:06;NL2;Tc,6s;CO;;0.0;0.0;No;2.19;EUR;109.5;0.0;54
2022/07/10 11:11:23;NL2;9c,7s;MP;;0.0;0.0;No;2.19;EUR;109.5;0.0;55
2022/07/10 11:11:30;NL2;3s,3d;EP;Tc,2c,4c,7d,Qh;0.0;0.0;No;1.93;EUR;96.5;0.0;56
2022/07/10 11:11:48;NL2;Jc,4h;EP;;0.0;0.0;No;2.19;EUR;109.5;0.0;57
2022/07/10 11:12:21;NL2;5s,5h;BB;2c,Th,2h,8d,4s;-0.26;-13.0;Yes;2.19;EUR;109.5;0.0;58
2022/07/10 11:12:28;NL2;9d,8h;BB;3d,3s,Kc,Qh,Tc;-0.02;-1.0;No;1.93;EUR;96.5;0.0;59
2022/07/10 11:13:12;NL2;Jh,5s;SB;;-0.01;-0.5;No;1.91;EUR;95.5;0.0;60
2022/07/10 11:13:34;NL2;Ts,4d;BTN;7s,8d,6s;0.0;0.0;No;1.9;EUR;95.0;0.0;61
2022/07/10 11:13:46;NL2;Ts,4h;SB;;-0.01;-0.5;No;1.93;EUR;96.5;0.0;62
2022/07/10 11:13:57;NL2;9s,4d;BTN;;0.0;0.0;No;1.92;EUR;96.0;0.0;63
2022/07/10 11:14:13;NL2;Qh,9s;CO;;0.0;0.0;No;1.9;EUR;95.0;0.0;64
2022/07/10 11:14:29;NL2;As,7s;CO;;0.03;1.5;No;1.92;EUR;96.0;0.0;65
2022/07/10 11:14:33;NL2;Ks,4h;MP;Td,Tc,2s,9s;0.0;0.0;No;1.9;EUR;95.0;0.0;66
2022/07/10 11:15:06;NL2;Ks,6h;MP;;0.0;0.0;No;1.95;EUR;97.5;0.0;67
2022/07/10 11:15:08;NL2;As,Jc;EP;7c,4c,Tc;-0.89;-44.5;No;1.9;EUR;95.0;0.0;68
2022/07/10 11:15:41;NL2;Td,4s;EP;2c,Ks,5d,9h,3c;0.0;0.0;No;1.95;EUR;97.5;0.0;69
2022/07/10 11:15:53;NL2;7s,2c;BB;4c,6d,3h,2h;-0.02;-1.0;No;1.01;EUR;50.5;0.0;70
2022/07/10 11:16:43;NL2;7h,3h;SB;5s,Jc,Ts,7c,Ad;-0.01;-0.5;No;0.99;EUR;49.5;0.0;71
2022/07/10 11:16:56;NL2;9d,4s;BB;;-0.02;-1.0;No;1.95;EUR;97.5;0.0;72
2022/07/10 11:17:46;NL2;9c,6s;SB;;-0.01;-0.5;No;1.93;EUR;96.5;0.0;73
2022/07/10 11:18:06;NL2;7c,4s;BTN;;0.0;0.0;No;0.98;EUR;49.0;0.0;74
2022/07/10 11:18:06;NL2;Kd,5c;BTN;;0.0;0.0;No;1.92;EUR;96.0;0.0;75
2022/07/10 11:18:28;NL2;Ad,Kd;CO;5c,4s,Jc,Jh;0.07;3.5;No;0.98;EUR;49.0;0.0;76
2022/07/10 11:18:30;NL2;Jd,2s;CO;;0.0;0.0;No;1.92;EUR;96.0;0.0;77
2022/07/10 11:18:59;NL2;Ts,9s;MP;;0.03;1.5;No;1.92;EUR;96.0;0.0;78
2022/07/10 11:19:33;NL2;9h,8h;EP;;0.03;1.5;No;1.95;EUR;97.5;0.0;79
2022/07/10 11:19:45;NL2;Tc,2s;MP;Kd,Qc,Qh,8d,4d;0.0;0.0;No;1.05;EUR;52.5;0.0;80
2022/07/10 11:19:53;NL2;Qh,7h;BB;3s,5d,5c,Td;-0.12;-6.0;No;1.98;EUR;99.0;0.0;81
2022/07/10 11:20:52;NL2;6h,6d;EP;;0.03;1.5;No;2.0;EUR;100.0;0.0;82
2022/07/10 11:20:57;NL2;Qh,Td;SB;;-0.01;-0.5;No;1.86;EUR;93.0;0.0;83
2022/07/10 11:21:11;NL2;Ah,9s;BB;Th,7c,6h,3d,5h;-0.06;-3.0;No;2.03;EUR;101.5;0.0;84
2022/07/10 11:21:26;NL2;5h,3h;BTN;;0.0;0.0;No;1.85;EUR;92.5;0.0;85
2022/07/10 11:21:51;NL2;9h,8h;CO;;0.03;1.5;No;1.85;EUR;92.5;0.0;86
2022/07/10 11:22:04;NL2;Tc,5c;SB;Th,6d,Jd,3h,Td;-0.01;-0.5;No;1.97;EUR;98.5;0.0;87
2022/07/10 11:22:16;NL2;Ts,9c;MP;;0.0;0.0;No;1.88;EUR;94.0;0.0;88
2022/07/10 11:22:36;NL2;Kc,5d;BTN;;0.0;0.0;No;1.96;EUR;98.0;0.0;89
2022/07/10 11:22:40;NL2;8s,3d;EP;;0.0;0.0;No;1.88;EUR;94.0;0.0;90
2022/07/10 11:22:53;NL2;6d,4h;CO;;0.0;0.0;No;1.96;EUR;98.0;0.0;91
2022/07/10 11:22:55;NL2;4s,4c;BB;8s,Qd,Ah,5d;-0.1;-5.0;No;1.88;EUR;94.0;0.0;92
2022/07/10 11:23:34;NL2;2s,2c;MP;6d,Qh,6c,Js,8s;-0.12;-6.0;No;1.96;EUR;98.0;0.0;93
2022/07/10 11:24:03;NL2;Kh,7c;SB;Ac,5s,6h,7h,5h;0.07;3.5;No;1.78;EUR;89.0;0.01;94
2022/07/10 11:24:50;NL2;Jh,4c;EP;;0.0;0.0;No;1.84;EUR;92.0;0.0;95
2022/07/10 11:25:06;NL2;9d,2c;BB;;-0.02;-1.0;No;1.84;EUR;92.0;0.0;96
2022/07/10 11:25:22;NL2;5h,2c;BTN;;0.0;0.0;No;1.85;EUR;92.5;0.0;97
2022/07/10 11:25:30;NL2;Ac,4c;SB;6c,Td,3c,3d,7d;-0.1;-5.0;No;1.82;EUR;91.0;0.0;98
2022/07/10 11:25:45;NL2;7c,5c;CO;;0.03;1.5;No;1.85;EUR;92.5;0.0;99
2022/07/10 11:26:12;NL2;Kd,Qd;MP;;0.03;1.5;No;1.88;EUR;94.0;0.0;100
2022/07/10 11:26:33;NL2;Jd,7h;BTN;;0.0;0.0;No;1.72;EUR;86.0;0.0;101
2022/07/10 11:26:53;NL2;Qh,6s;EP;6h,Jd,2h;0.0;0.0;No;1.91;EUR;95.5;0.0;102
2022/07/10 11:27:04;NL2;Ad,Jd;CO;;0.03;1.5;No;1.72;EUR;86.0;0.0;103
2022/07/10 11:27:26;NL2;Jc,9h;MP;;0.0;0.0;No;1.75;EUR;87.5;0.0;104
2022/07/10 11:27:36;NL2;5h,3s;EP;6d,Ad,3c;0.0;0.0;No;1.75;EUR;87.5;0.0;105
2022/07/10 11:28:00;NL2;Kc,9c;BB;Kd,6s,Tc,Qc,Kh;0.06;3.0;No;1.91;EUR;95.5;0.0;106
2022/07/10 11:28:15;NL2;7c,4d;BB;;-0.02;-1.0;No;1.75;EUR;87.5;0.0;107
2022/07/10 11:28:33;NL2;Kd,8s;SB;5d,4h,Jd,Ks;-0.01;-0.5;No;1.73;EUR;86.5;0.0;108
2022/07/10 11:29:07;NL2;Kd,2c;SB;;-0.01;-0.5;No;1.97;EUR;98.5;0.0;109
2022/07/10 11:29:21;NL2;Jh,3c;BTN;6h,8s,2c,Td,Kd;0.0;0.0;No;1.72;EUR;86.0;0.0;110
2022/07/10 11:29:28;NL2;6s,3h;BTN;;0.0;0.0;No;1.96;EUR;98.0;0.0;111
2022/07/10 11:29:57;NL2;5h,2s;CO;;0.0;0.0;No;1.96;EUR;98.0;0.0;112
2022/07/10 11:30:08;NL2;Ks,3c;CO;;0.0;0.0;No;1.72;EUR;86.0;0.0;113
2022/07/10 11:30:37;NL2;Th,7h;MP;Td,4c,6h;0.0;0.0;No;1.96;EUR;98.0;0.0;114
2022/07/10 11:30:40;NL2;Jh,9d;MP;;-0.06;-3.0;No;1.72;EUR;86.0;0.0;115
2022/07/10 11:31:25;NL2;Kh,7d;EP;;0.0;0.0;No;1.66;EUR;83.0;0.0;116
2022/07/10 11:32:08;NL2;Ad,3c;EP;Th,Ah,7c,Qd,4c;0.0;0.0;No;1.96;EUR;98.0;0.0;117
2022/07/10 11:32:11;NL2;9c,2c;BB;;0.01;0.5;No;1.66;EUR;83.0;0.0;118
2022/07/10 11:32:48;NL2;Tc,6h;SB;;-0.01;-0.5;No;1.67;EUR;83.5;0.0;119
2022/07/10 11:33:26;NL2;4s,3d;BTN;;0.03;1.5;No;1.66;EUR;83.0;0.0;120
2022/07/10 11:33:33;NL2;3s,2d;BB;9s,7s,8s,9h,6h;-0.1;-5.0;Yes;1.96;EUR;98.0;0.0;121
2022/07/10 11:33:50;NL2;Jc,4h;CO;8d,Ad,Ks,Ah,3h;0.0;0.0;No;1.69;EUR;84.5;0.0;122
2022/07/10 11:34:32;NL2;Ah,3s;SB;;-0.01;-0.5;No;1.86;EUR;93.0;0.0;123
2022/07/10 11:35:04;NL2;9s,6s;BTN;;0.03;1.5;No;1.85;EUR;92.5;0.0;124
2022/07/10 11:35:12;NL2;6s,3h;MP;;0.0;0.0;No;1.69;EUR;84.5;0.0;125
2022/07/10 11:35:28;NL2;Ad,Th;CO;3h,2d,9c,Kd;0.07;3.5;No;1.88;EUR;94.0;0.0;126
2022/07/10 11:35:41;NL2;6h,4c;EP;6s,Th,Ts;0.0;0.0;No;1.69;EUR;84.5;0.0;127
2022/07/10 11:36:34;NL2;6h,4d;BB;Ad,7s,Kh,Qs,Ac;-0.02;-1.0;No;1.69;EUR;84.5;0.0;128
2022/07/10 11:36:46;NL2;Jc,7s;MP;;0.0;0.0;No;1.95;EUR;97.5;0.0;129
2022/07/10 11:37:16;NL2;As,9h;EP;;0.0;0.0;No;1.95;EUR;97.5;0.0;130
2022/07/10 11:37:32;NL2;Ad,Th;SB;2s,6d,Qc;-0.1;-5.0;No;1.67;EUR;83.5;0.0;131
2022/07/10 11:38:45;NL2;9s,7c;BTN;;0.0;0.0;No;1.57;EUR;78.5;0.0;132
2022/07/10 11:39:01;NL2;Kc,4s;CO;5h,5s,Tc,Ad,2d;0.0;0.0;No;1.57;EUR;78.5;0.0;133
2022/07/10 11:40:43;NL2;2h,2c;MP;;0.03;1.5;No;1.57;EUR;78.5;0.0;134
2022/07/14 22:44:43;NL2;7s,2s;BTN;;-0.01;-0.5;No;0.8;EUR;40.0;0.0;135
2022/07/14 22:45:23;NL2;8s,8c;BTN;As,Jh,4d,Jd,7h;-0.46;-23.0;Yes;0.79;EUR;39.5;0.0;136
2022/07/14 22:45:54;NL2;6d,4d;SB;5s,6c,3h,Td;0.29;14.5;Yes;0.33;EUR;16.5;0.04;137
2022/07/14 22:46:28;NL2;3s,3h;BTN;5c,Js,6d,6h,4d;0.06;3.0;Yes;0.62;EUR;31.0;0.0;138
2022/07/14 22:46:54;NL2;5h,4s;SB;3c,2d,Kh,6d,2s;0.26;13.0;Yes;0.68;EUR;34.0;0.03;139
2022/07/15 16:53:44;NL2;Ac,9s;CO;Qc,6d,5d,Kd,2h;-0.02;-1.0;No;0.94;EUR;47.0;0.0;140
2022/07/15 16:54:16;NL2;5d,4d;MP;5s,5c,Tc,6c;0.0;0.0;No;0.92;EUR;46.0;0.0;141
2022/07/15 16:55:30;NL2;9h,5d;EP;3h,6c,6s;0.0;0.0;No;0.92;EUR;46.0;0.0;142
2022/07/15 16:56:44;NL2;Jc,7h;BB;Kd,Qc,9s,8s;0.14;7.0;No;0.92;EUR;46.0;0.01;143
2022/07/15 16:58:00;NL2;Ac,8d;SB;3s,9d,2d,Ts,4h;-0.01;-0.5;No;1.06;EUR;53.0;0.0;144
2022/07/15 16:59:02;NL2;Qs,7c;BTN;;0.0;0.0;No;1.05;EUR;52.5;0.0;145
2022/07/15 16:59:20;NL2;Qh,Js;CO;;0.03;1.5;No;1.05;EUR;52.5;0.0;146
2022/07/15 16:59:54;NL2;Kd,2s;MP;;0.0;0.0;No;1.08;EUR;54.0;0.0;147
2022/07/15 17:00:20;NL2;Ts,7s;EP;;0.0;0.0;No;1.08;EUR;54.0;0.0;148
2022/07/15 17:00:40;NL2;Ac,6s;BB;Ad,7d,6h,Th;-0.02;-1.0;No;1.08;EUR;54.0;0.0;149
2022/07/15 17:01:31;NL2;Kh,5s;SB;9s,Kc,3d,6d,Ks;-0.01;-0.5;No;1.06;EUR;53.0;0.0;150
2022/07/15 17:02:31;NL2;7d,2h;BTN;;0.0;0.0;No;1.05;EUR;52.5;0.0;151
2022/07/15 17:03:17;NL2;Ac,6c;CO;Kc,Qs,9h,7c;0.0;0.0;No;1.05;EUR;52.5;0.0;152
2022/07/15 17:04:07;NL2;4c,2h;MP;Qs,7h,3h,2c,3s;0.0;0.0;No;1.05;EUR;52.5;0.0;153
2022/07/15 17:08:58;NL2;Kc,6h;BB;;-0.02;-1.0;No;1.05;EUR;52.5;0.0;154
2022/07/15 17:09:27;NL2;9d,4c;SB;;-0.01;-0.5;No;1.03;EUR;51.5;0.0;155
2022/07/15 17:09:43;NL2;Jd,9d;BTN;7h,Jc,6s,2d;0.0;0.0;No;1.02;EUR;51.0;0.0;156
2022/07/15 17:10:27;NL2;Jh,7h;CO;5c,Qd,2s,3c;0.18;9.0;No;1.02;EUR;51.0;0.01;157
2022/07/15 17:11:34;NL2;Jd,5c;MP;;0.0;0.0;No;1.2;EUR;60.0;0.0;158
2022/07/15 17:11:50;NL2;Jc,2c;EP;5c,7h,5d;0.0;0.0;No;1.2;EUR;60.0;0.0;159
2022/07/15 17:12:31;NL2;7c,5c;BB;2d,8h,9h,9s,5s;-0.06;-3.0;Yes;1.2;EUR;60.0;0.0;160
2022/07/15 17:13:10;NL2;Kc,4d;SB;Ac,Th,9c,2d,2h;-0.01;-0.5;No;1.14;EUR;57.0;0.0;161
2022/07/15 17:14:08;NL2;Tc,5c;BTN;4d,7d,2d,4c;0.0;0.0;No;1.13;EUR;56.5;0.0;162
2022/07/15 17:14:35;NL2;Ks,4c;CO;;0.0;0.0;No;1.13;EUR;56.5;0.0;163
2022/07/15 17:14:48;NL2;9s,6d;MP;;0.0;0.0;No;1.13;EUR;56.5;0.0;164
2022/07/15 17:15:03;NL2;Tc,2d;EP;;0.0;0.0;No;1.13;EUR;56.5;0.0;165
2022/07/15 17:15:24;NL2;Kc,Qs;BB;;0.01;0.5;No;1.13;EUR;56.5;0.0;166
2022/07/15 17:15:38;NL2;Qs,4d;SB;3h,7s,8c,2c,Ad;-0.01;-0.5;No;1.14;EUR;57.0;0.0;167
2022/07/15 17:16:34;NL2;5s,2d;BTN;;0.0;0.0;No;1.13;EUR;56.5;0.0;168
2022/07/15 17:16:54;NL2;Qc,6c;MP;Ac,Qd,7d,Ts,Kh;0.0;0.0;No;1.13;EUR;56.5;0.0;169
2022/07/15 17:17:44;NL2;Qc,Jd;EP;9d,5s,Td;0.81;40.5;Yes;1.13;EUR;56.5;0.27;170
2022/07/15 17:18:31;NL2;8s,4c;BB;;0.01;0.5;No;2.08;EUR;104.0;0.0;171
2022/07/15 17:18:39;NL2;As,9c;SB;8c,3h,Qd,Qh;0.09;4.5;No;2.09;EUR;104.5;0.01;172
2022/07/15 17:19:19;NL2;9s,2d;BTN;4c,Th,8c,9c,7h;0.0;0.0;No;2.18;EUR;109.0;0.0;173
2022/07/15 17:20:07;NL2;6s,5c;MP;7s,3d,Kd;0.0;0.0;No;2.18;EUR;109.0;0.0;174
2022/07/16 10:11:44;NL2;7d,2s;EP;;-0.02;-1.0;No;2.0;EUR;100.0;0.0;175
2022/07/16 10:12:01;NL2;Jh,5s;BB;Ad,Ks,Kh,4d;-0.01;-0.5;No;1.98;EUR;99.0;0.0;176
2022/07/16 10:12:44;NL2;Ac,8c;BTN;4s,Td,3h,5c;0.31;15.5;No;1.97;EUR;98.5;0.04;177
2022/07/16 10:14:01;NL2;Td,7d;CO;7c,6c,4d,Qs;0.0;0.0;No;2.28;EUR;114.0;0.0;178
2022/07/16 10:15:05;NL2;8h,6d;MP;Ks,Kc,3d,8s,Qc;0.0;0.0;No;2.28;EUR;114.0;0.0;179
2022/07/16 10:15:49;NL2;Jd,9d;EP;5s,9c,Jc,7d,6d;0.06;3.0;No;2.28;EUR;114.0;0.0;180
2022/07/16 10:16:51;NL2;Kd,Jd;SB;;-0.06;-3.0;No;2.34;EUR;117.0;0.0;181
2022/07/16 10:17:23;NL2;Ah,3d;BTN;5h,5s,2h,9c;0.1;5.0;No;2.28;EUR;114.0;0.01;182
2022/07/16 10:18:35;NL2;Ad,6s;CO;6c,9d,Kd;0.0;0.0;No;2.38;EUR;119.0;0.0;183
2022/07/16 10:19:19;NL2;9s,8h;MP;9d,8s,6s,4s,Jd;0.0;0.0;No;2.38;EUR;119.0;0.0;184
2022/07/16 10:21:17;NL2;8d,3s;EP;8s,7d,6d,7h,4d;-0.04;-2.0;Yes;2.38;EUR;119.0;0.0;185
2022/07/16 10:22:27;NL2;As,6s;SB;4d,2s,Th;-0.01;-0.5;No;2.34;EUR;117.0;0.0;186
2022/07/16 10:23:15;NL2;Ah,8c;BTN;4d,7s,As,2s,6s;0.2;10.0;Yes;2.33;EUR;116.5;0.02;187
2022/07/16 10:25:06;NL2;Jc,5d;CO;Ts,9s,6c,Qd,5h;0.0;0.0;No;2.53;EUR;126.5;0.0;188
2022/07/16 10:26:59;NL2;Ad,9s;MP;Kc,Th,Jh,Ah;0.0;0.0;No;2.53;EUR;126.5;0.0;189
2022/07/16 10:28:12;NL2;Js,2s;EP;Ad,As,5d,6d,5c;0.0;0.0;No;2.53;EUR;126.5;0.0;190
2022/07/16 10:29:29;NL2;Jc,5c;BB;Td,3h,2h,Kc,6h;-0.02;-1.0;No;2.53;EUR;126.5;0.0;191
2022/07/16 10:31:15;NL2;Kc,3c;BTN;Ac,Th,Ad;0.07;3.5;No;2.51;EUR;125.5;0.0;192
2022/07/16 10:32:11;NL2;8s,6s;EP;;0.0;0.0;No;2.58;EUR;129.0;0.0;193
2022/07/16 10:36:55;NL2;As,6d;BB;4h,5h,3h,Td,6s;-0.02;-1.0;No;2.0;EUR;100.0;0.0;194
2022/07/16 10:37:57;NL2;Jc,4d;SB;;-0.01;-0.5;No;1.98;EUR;99.0;0.0;195
2022/07/16 10:38:08;NL2;As,Qh;BTN;5s,Kc,Ac;0.17;8.5;No;1.97;EUR;98.5;0.02;196
2022/07/16 10:38:58;NL2;8d,5c;CO;6s,7d,Ad,4d,4c;0.0;0.0;No;2.14;EUR;107.0;0.0;197
2022/07/16 10:40:11;NL2;7s,5s;MP;2s,3s,4c,3d,2d;0.0;0.0;No;2.14;EUR;107.0;0.0;198
2022/07/16 20:33:34;NL2;9d,5c;BB;6s,9s,6h;-0.02;-1.0;No;2.0;EUR;100.0;0.0;199
2022/07/16 20:34:03;NL2;7s,2h;SB;;-0.01;-0.5;No;1.98;EUR;99.0;0.0;200
2022/07/16 20:34:13;NL2;Td,7h;BTN;Ts,Jc,9s;0.0;0.0;No;1.97;EUR;98.5;0.0;201
2022/07/16 20:35:10;NL2;Td,2d;MP;Qh,7h,Qd,3c,Qs;0.0;0.0;No;1.97;EUR;98.5;0.0;202
2022/07/16 20:36:08;NL2;7h,5c;EP;2s,7d,4c,2h;0.0;0.0;No;1.97;EUR;98.5;0.0;203
2022/07/16 20:37:15;NL2;2h,2d;BB;8c,3h,4d,6h,7d;-0.28;-14.0;Yes;1.97;EUR;98.5;0.0;204
2022/07/16 20:38:18;NL2;Jc,Ts;SB;8d,5c,9d,9h;-0.01;-0.5;No;1.69;EUR;84.5;0.0;205
2022/07/16 20:38:58;NL2;Kc,Th;BTN;2s,Ks,Ac,Ad;0.1;5.0;No;1.68;EUR;84.0;0.01;206
2022/07/16 20:40:28;NL2;8d,3c;MP;6s,Qs,Jd,5s,8c;0.0;0.0;No;1.78;EUR;89.0;0.0;207
2022/07/16 20:41:32;NL2;Js,7d;EP;;0.0;0.0;No;1.78;EUR;89.0;0.0;208
2022/07/16 20:41:59;NL2;8d,6d;BB;;0.01;0.5;No;1.78;EUR;89.0;0.0;209
2022/07/16 20:42:26;NL2;Qh,Ts;SB;;0.02;1.0;No;1.79;EUR;89.5;0.0;210
2022/07/16 20:42:41;NL2;9h,7d;BTN;;0.0;0.0;No;1.81;EUR;90.5;0.0;211
2022/07/16 20:43:04;NL2;8h,6h;CO;;0.0;0.0;No;1.81;EUR;90.5;0.0;212
2022/07/16 20:43:31;NL2;Kh,Kc;MP;;0.03;1.5;No;1.81;EUR;90.5;0.0;213
2022/07/16 20:43:58;NL2;As,Tc;EP;;0.03;1.5;No;1.84;EUR;92.0;0.0;214
2022/07/16 20:44:32;NL2;Qs,5h;BB;;-0.02;-1.0;No;1.87;EUR;93.5;0.0;215
2022/07/16 20:44:55;NL2;Js,3h;SB;;-0.01;-0.5;No;1.85;EUR;92.5;0.0;216
2022/07/16 20:45:14;NL2;9d,7c;BTN;Qs,Kd,2s,8d;0.0;0.0;No;1.84;EUR;92.0;0.0;217
2022/07/16 20:45:48;NL2;6h,6c;CO;Ah,2h,5c,6s;1.62;81.0;Yes;1.84;EUR;92.0;1.17;218
2022/07/16 20:46:56;NL2;Qc,7h;MP;Js,Kc,7s;0.0;0.0;No;3.46;EUR;173.0;0.0;219
2022/07/16 20:47:39;NL2;Js,5c;EP;;0.0;0.0;No;3.46;EUR;173.0;0.0;220
2022/07/16 20:48:00;NL2;7c,2d;BB;;0.01;0.5;No;3.46;EUR;173.0;0.0;221
